P1,P2,...,Pn
[7, 2, 1, 11, 4]
[10, 8, 3, 6, 14]
[0, 10, 6, 8, 14]
[1, 8, 13, 4, 0]
[4, 0, 13, 6, 1]
[14, 2, 3, 7, 10]
[1, 14, 9, 3, 0]
[2, 9, 6, 0, 4]
[6, 7, 13, 3, 10]
[10, 4, 5, 1, 7]
[5, 0, 8, 2, 1]
[13, 8, 14, 5, 4]
[10, 13, 14, 4, 6]
[0, 12, 13, 10, 5]
[2, 14, 9, 5, 10]
[12, 13, 9, 3, 4]
[2, 12, 0, 4, 6]
[7, 3, 6, 8, 12]
[5, 13, 10, 9, 0]
[12, 9, 11, 8, 5]
[2, 8, 10, 7, 12]
[10, 1, 5, 12, 6]
[5, 7, 6, 2, 0]
[7, 14, 6, 4, 8]
[13, 3, 6, 2, 4]
[11, 14, 0, 13, 10]
[11, 12, 3, 14, 1]
[11, 13, 14, 10, 1]
[13, 3, 14, 0, 2]
[6, 7, 13, 2, 9]
[11, 9, 6, 0, 13]
[7, 4, 0, 5, 10]
[3, 12, 8, 5, 0]
[0, 5, 4, 3, 9]
[3, 0, 7, 11, 4]
[10, 9, 3, 2, 0]
[7, 2, 1, 10, 6]
[7, 10, 1, 4, 13]
[8, 1, 5, 3, 6]
[12, 10, 7, 9, 2]
[6, 12, 13, 11, 0]
[4, 6, 3, 2, 8]
[8, 1, 5, 9, 4]
[2, 4, 13, 11, 1]
[2, 11, 8, 6, 10]
[11, 4, 0, 8, 13]
[3, 11, 12, 6, 0]
[12, 1, 7, 5, 13]
[10, 1, 14, 0, 2]
[0, 5, 9, 13, 6]
[13, 8, 11, 3, 14]
[10, 2, 13, 0, 11]
[0, 1, 3, 14, 11]
[1, 10, 13, 9, 6]
[5, 4, 8, 1, 11]
[4, 5, 9, 8, 10]
[8, 7, 13, 12, 3]
[5, 11, 13, 12, 7]
[13, 11, 9, 6, 14]
[13, 1, 9, 14, 6]
[13, 14, 11, 6, 12]
[11, 4, 6, 2, 9]
[9, 6, 12, 7, 2]
[10, 2, 11, 14, 13]
[3, 1, 5, 4, 14]
[2, 1, 0, 13, 5]
[1, 4, 6, 7, 8]
[10, 4, 14, 9, 0]
[12, 5, 13, 1, 8]
[14, 7, 4, 13, 6]
[10, 12, 9, 6, 2]
[6, 5, 0, 4, 1]
[10, 9, 3, 6, 4]
[5, 4, 7, 12, 0]
[14, 0, 9, 7, 2]
[8, 13, 5, 7, 2]
[11, 6, 14, 12, 0]
[6, 10, 14, 12, 5]
[10, 13, 8, 5, 0]
[5, 11, 0, 10, 2]
[1, 4, 8, 10, 13]
[1, 7, 8, 10, 14]
[13, 4, 11, 6, 2]
[12, 5, 8, 10, 2]
[0, 2, 4, 1, 14]
[4, 3, 1, 6, 2]
[14, 2, 8, 0, 1]
[11, 13, 2, 14, 6]
[3, 12, 11, 4, 10]
[10, 9, 2, 13, 6]
[14, 3, 8, 11, 13]
[1, 6, 3, 12, 7]
[7, 4, 0, 1, 12]
[8, 9, 12, 11, 6]
[1, 10, 5, 0, 6]
[13, 10, 6, 7, 0]
[0, 13, 7, 4, 6]
[6, 13, 4, 10, 8]
[6, 5, 3, 7, 14]
[7, 4, 13, 5, 2]
[12, 9, 13, 14, 3]
[4, 10, 9, 14, 2]
[3, 0, 6, 9, 4]
[1, 5, 0, 9, 13]
[13, 9, 1, 0, 14]
[9, 7, 6, 5, 14]
[10, 12, 9, 7, 13]
[10, 7, 14, 1, 4]
[11, 10, 7, 13, 14]
[12, 0, 7, 13, 6]
[9, 0, 11, 12, 10]
[1, 12, 4, 14, 6]
[9, 10, 4, 7, 2]
[7, 6, 5, 1, 8]
[9, 14, 12, 1, 0]
[12, 14, 13, 1, 8]
[8, 6, 11, 10, 1]
[7, 1, 8, 6, 5]
[4, 11, 13, 1, 9]
[2, 12, 1, 9, 14]
[3, 5, 13, 11, 2]
[4, 7, 1, 10, 6]
[6, 8, 2, 10, 3]
[5, 7, 13, 12, 9]
[5, 14, 6, 10, 2]
[9, 13, 0, 3, 14]
[12, 8, 14, 13, 7]
[1, 14, 12, 13, 10]
[8, 4, 13, 14, 3]
[4, 12, 2, 0, 8]
[0, 7, 5, 8, 13]
[8, 9, 6, 14, 10]
[7, 4, 6, 1, 2]
[4, 8, 10, 14, 7]
[3, 0, 13, 11, 10]
[12, 4, 5, 0, 3]
[10, 12, 4, 6, 9]
[4, 7, 5, 11, 0]
[14, 6, 0, 5, 8]
[9, 5, 0, 4, 7]
[5, 13, 8, 0, 2]
[7, 9, 0, 2, 4]
[4, 13, 12, 11, 9]
[6, 10, 8, 5, 14]
[3, 1, 5, 14, 6]
[5, 3, 11, 4, 14]
[9, 8, 1, 7, 5]
[10, 6, 7, 9, 4]
[4, 6, 11, 1, 7]
[11, 4, 1, 12, 7]
[3, 12, 6, 0, 9]
[8, 14, 11, 12, 2]
[13, 11, 12, 8, 1]
[2, 14, 6, 11, 4]
[10, 4, 7, 0, 11]
[2, 1, 10, 9, 14]
[2, 11, 4, 5, 1]
[6, 4, 5, 10, 0]
[8, 11, 14, 2, 0]
[13, 11, 10, 9, 3]
[0, 10, 3, 4, 11]
[14, 7, 13, 6, 10]
[0, 10, 8, 3, 12]
[2, 0, 9, 12, 10]
[11, 6, 1, 9, 8]
[1, 7, 13, 5, 12]
[5, 11, 6, 10, 2]
[7, 8, 12, 1, 5]
[2, 0, 8, 4, 11]
[13, 11, 7, 2, 12]
[9, 14, 3, 11, 12]
[14, 10, 8, 9, 0]
[8, 13, 4, 0, 10]
[9, 3, 7, 8, 10]
[7, 6, 13, 1, 8]
[4, 2, 5, 3, 10]
[9, 7, 12, 10, 14]
[5, 2, 9, 6, 0]
[8, 1, 14, 6, 13]
[5, 3, 1, 13, 0]
[10, 7, 3, 9, 5]
[4, 14, 0, 11, 10]
[11, 3, 4, 9, 1]
[8, 12, 14, 0, 4]
[5, 1, 9, 7, 10]
[13, 12, 9, 11, 1]
[12, 10, 8, 1, 2]
[11, 7, 3, 6, 12]
[13, 1, 8, 9, 12]
[5, 6, 1, 8, 14]
[5, 7, 13, 2, 8]
[5, 11, 0, 13, 3]
[1, 8, 9, 0, 11]
[1, 10, 11, 5, 2]
[5, 3, 14, 8, 11]
[11, 12, 5, 1, 6]
[13, 6, 9, 14, 4]
[5, 3, 10, 6, 0]
[0, 7, 13, 1, 3]
[0, 11, 7, 1, 9]
[6, 11, 12, 7, 9]
[10, 6, 12, 7, 13]
[10, 6, 0, 8, 7]
[4, 6, 5, 0, 10]
[3, 8, 2, 12, 10]
[7, 14, 6, 2, 0]
[3, 8, 10, 14, 6]
[3, 2, 9, 7, 0]
[7, 12, 11, 8, 14]
[6, 0, 14, 12, 3]
[6, 8, 7, 10, 1]
[10, 1, 14, 5, 12]
[1, 6, 14, 12, 8]
[13, 5, 2, 4, 3]
[14, 10, 4, 7, 12]
[9, 7, 8, 6, 11]
[5, 13, 10, 7, 14]
[1, 0, 12, 13, 11]
[12, 7, 1, 6, 4]
[6, 0, 4, 13, 1]
[9, 3, 2, 14, 10]
[0, 9, 1, 7, 11]
[6, 13, 12, 3, 2]
[14, 0, 8, 5, 3]
[14, 12, 7, 3, 8]
[3, 2, 4, 1, 6]
[11, 2, 0, 4, 14]
[2, 14, 6, 5, 10]
[6, 10, 7, 0, 4]
[5, 12, 3, 13, 4]
[6, 2, 14, 9, 10]
[13, 4, 1, 0, 2]
[12, 5, 14, 13, 6]
[4, 10, 14, 8, 1]
[14, 3, 6, 2, 0]
[13, 8, 11, 6, 7]
[4, 10, 3, 7, 14]
[5, 1, 11, 3, 6]
[4, 2, 5, 7, 3]
[8, 1, 6, 4, 3]
[2, 14, 11, 7, 1]
[11, 8, 14, 13, 1]
[7, 11, 10, 14, 8]
