P1,P2,...,Pn
[8, 2, 14, 3, 0]
[2, 4, 1, 9, 3]
[11, 2, 1, 9, 3]
[3, 1, 10, 5, 14]
[6, 10, 3, 2, 4]
[1, 2, 0, 3, 5]
[8, 6, 12, 1, 11]
[13, 14, 4, 10, 7]
[8, 12, 2, 0, 9]
[13, 12, 9, 6, 8]
[14, 6, 0, 2, 12]
[11, 9, 14, 6, 10]
[5, 4, 2, 13, 6]
[2, 9, 11, 7, 4]
[0, 3, 14, 4, 6]
[13, 0, 7, 9, 2]
[11, 10, 8, 1, 0]
[0, 4, 2, 7, 13]
[7, 9, 0, 10, 5]
[11, 10, 14, 0, 2]
[6, 3, 9, 11, 14]
[10, 8, 6, 14, 4]
[14, 8, 9, 0, 3]
[3, 12, 14, 5, 1]
[3, 10, 14, 1, 5]
[3, 12, 8, 5, 2]
[6, 5, 0, 14, 1]
[11, 8, 10, 0, 2]
[12, 8, 11, 3, 1]
[9, 10, 1, 4, 5]
[8, 6, 4, 0, 14]
[7, 5, 14, 0, 12]
[2, 7, 1, 5, 0]
[12, 10, 7, 13, 5]
[1, 0, 5, 8, 12]
[4, 1, 6, 2, 13]
[1, 2, 13, 3, 4]
[3, 12, 10, 6, 5]
[1, 8, 9, 14, 5]
[1, 6, 14, 13, 7]
[3, 13, 4, 5, 2]
[5, 11, 1, 4, 3]
[3, 0, 11, 5, 9]
[6, 5, 11, 14, 7]
[7, 3, 14, 8, 12]
[9, 13, 8, 14, 2]
[10, 1, 2, 9, 4]
[10, 13, 8, 3, 11]
[10, 12, 0, 6, 8]
[7, 3, 14, 5, 12]
[4, 5, 7, 11, 13]
[3, 12, 4, 2, 5]
[13, 2, 8, 3, 10]
[8, 5, 2, 4, 9]
[0, 1, 10, 7, 8]
[12, 7, 9, 11, 5]
[3, 1, 2, 6, 11]
[7, 9, 10, 13, 5]
[7, 6, 4, 9, 12]
[14, 10, 0, 1, 7]
[10, 14, 3, 8, 9]
[3, 7, 10, 4, 8]
[10, 11, 0, 9, 12]
[0, 5, 9, 10, 8]
[13, 10, 12, 5, 1]
[3, 8, 6, 13, 14]
[2, 7, 11, 6, 10]
[14, 9, 5, 2, 10]
[8, 3, 14, 11, 5]
[9, 11, 8, 4, 2]
[9, 5, 11, 1, 4]
[14, 5, 12, 3, 9]
[2, 1, 6, 5, 8]
[4, 3, 9, 13, 6]
[10, 2, 6, 0, 14]
[8, 3, 5, 2, 4]
[12, 14, 2, 4, 5]
[13, 14, 1, 4, 5]
[1, 2, 12, 5, 14]
[0, 2, 4, 8, 13]
[9, 0, 6, 11, 10]
[13, 7, 2, 3, 8]
[7, 13, 4, 8, 14]
[14, 4, 10, 0, 5]
[9, 13, 7, 4, 10]
[8, 11, 7, 12, 5]
[4, 11, 3, 14, 5]
[9, 3, 11, 6, 4]
[10, 4, 5, 13, 2]
[6, 0, 10, 9, 13]
[5, 13, 14, 1, 9]
[12, 1, 4, 2, 3]
[0, 8, 10, 3, 1]
[11, 10, 14, 2, 7]
[13, 12, 0, 5, 6]
[2, 4, 1, 7, 9]
[0, 3, 5, 13, 12]
[4, 14, 6, 10, 9]
[5, 12, 2, 14, 9]
[1, 0, 6, 3, 2]
[7, 1, 14, 9, 11]
[13, 1, 3, 14, 0]
[11, 13, 0, 6, 12]
[2, 14, 12, 9, 8]
[5, 9, 3, 2, 4]
[13, 4, 1, 11, 3]
[14, 7, 4, 5, 11]
[0, 12, 4, 10, 3]
[1, 14, 9, 11, 0]
[7, 5, 6, 2, 9]
[12, 1, 10, 3, 8]
[2, 1, 8, 5, 3]
[14, 0, 6, 11, 10]
[11, 5, 0, 10, 3]
[0, 3, 4, 9, 5]
[7, 9, 12, 2, 5]
[5, 7, 1, 13, 4]
[5, 13, 11, 2, 12]
[14, 11, 0, 9, 12]
[7, 4, 2, 8, 5]
[9, 4, 10, 2, 3]
[0, 7, 10, 8, 12]
[11, 13, 7, 4, 12]
[14, 11, 1, 2, 12]
[13, 1, 14, 2, 9]
[7, 3, 12, 13, 6]
[5, 3, 14, 12, 9]
[8, 0, 6, 14, 12]
[12, 14, 4, 10, 6]
[5, 10, 9, 14, 7]
[10, 7, 9, 8, 14]
[13, 1, 10, 7, 12]
[7, 10, 12, 14, 6]
[0, 6, 2, 7, 3]
[10, 1, 13, 9, 7]
[10, 12, 14, 3, 7]
[2, 1, 4, 6, 9]
[0, 14, 2, 1, 3]
[6, 10, 11, 5, 8]
[13, 8, 2, 5, 11]
[3, 1, 0, 9, 11]
[6, 8, 7, 10, 4]
[8, 5, 9, 13, 4]
[7, 13, 2, 9, 0]
[10, 13, 8, 1, 12]
[1, 13, 14, 3, 9]
[1, 3, 8, 2, 11]
[12, 9, 6, 4, 11]
[2, 1, 13, 14, 4]
[6, 8, 3, 1, 10]
[0, 7, 6, 13, 12]
[3, 2, 5, 14, 10]
[8, 6, 0, 14, 11]
[4, 0, 12, 10, 1]
[4, 9, 0, 7, 13]
[11, 9, 0, 1, 3]
[6, 7, 0, 4, 10]
