P1,P2,...,Pn
[5, 0, 10, 12, 11]
[1, 0, 9, 5, 3]
[1, 6, 10, 7, 2]
[2, 7, 6, 1, 8]
[6, 12, 4, 5, 1]
[9, 11, 6, 4, 0]
[14, 1, 10, 6, 3]
[11, 0, 5, 10, 2]
[0, 8, 14, 5, 3]
[9, 7, 0, 14, 13]
[0, 9, 8, 2, 4]
[9, 4, 0, 2, 10]
[11, 13, 9, 1, 12]
[10, 5, 6, 3, 4]
[11, 7, 6, 10, 8]
[12, 2, 10, 14, 13]
[4, 2, 11, 10, 8]
[6, 11, 1, 3, 7]
[3, 5, 6, 1, 0]
[4, 10, 9, 11, 1]
[14, 7, 12, 9, 6]
[4, 11, 7, 14, 10]
[4, 14, 12, 0, 10]
[12, 0, 11, 1, 7]
[8, 13, 1, 9, 10]
[6, 5, 13, 11, 2]
[10, 8, 11, 12, 4]
[11, 12, 7, 5, 10]
[6, 7, 10, 5, 1]
[13, 4, 14, 3, 2]
[13, 6, 11, 0, 3]
[12, 10, 6, 9, 11]
[3, 9, 0, 4, 2]
[5, 0, 14, 9, 2]
[0, 4, 9, 10, 5]
[6, 9, 11, 10, 4]
[7, 4, 6, 2, 12]
[3, 13, 6, 2, 0]
[4, 5, 10, 11, 13]
[14, 8, 1, 9, 12]
[0, 12, 1, 6, 14]
[2, 12, 10, 8, 6]
[6, 12, 0, 14, 1]
[3, 0, 5, 13, 4]
[11, 8, 3, 5, 10]
[10, 13, 0, 3, 12]
[6, 12, 11, 14, 7]
[3, 11, 4, 2, 0]
[12, 3, 4, 8, 14]
[3, 14, 11, 6, 1]
[11, 13, 3, 5, 2]
[2, 5, 9, 13, 6]
[14, 4, 9, 12, 7]
[9, 10, 1, 8, 4]
[0, 13, 7, 4, 3]
[7, 11, 6, 4, 3]
[10, 4, 5, 8, 3]
[14, 1, 4, 3, 12]
[0, 6, 5, 11, 1]
[2, 6, 0, 1, 4]
[14, 13, 10, 1, 3]
[8, 2, 6, 0, 4]
[7, 12, 1, 3, 8]
[1, 9, 4, 5, 7]
[2, 0, 3, 9, 5]
[9, 0, 12, 8, 3]
[12, 7, 9, 13, 11]
[13, 7, 12, 5, 11]
[6, 12, 10, 3, 9]
[10, 11, 5, 9, 4]
[14, 0, 7, 12, 4]
[0, 7, 5, 8, 12]
[14, 8, 0, 7, 2]
[7, 8, 1, 5, 3]
[7, 3, 11, 8, 9]
[11, 6, 12, 10, 14]
[12, 0, 9, 6, 1]
[2, 7, 10, 8, 11]
[7, 5, 0, 10, 1]
[9, 2, 8, 10, 3]
[11, 2, 8, 3, 14]
[3, 14, 10, 0, 1]
[12, 4, 11, 13, 10]
[8, 10, 13, 1, 7]
[13, 6, 3, 5, 8]
[0, 6, 12, 7, 8]
[11, 9, 12, 14, 3]
[14, 7, 11, 6, 12]
[2, 1, 14, 11, 9]
[4, 10, 0, 6, 3]
[5, 2, 14, 1, 0]
[9, 10, 5, 13, 12]
[2, 6, 5, 10, 13]
[3, 11, 6, 0, 5]
[10, 5, 9, 0, 14]
[7, 3, 9, 11, 0]
[1, 3, 10, 14, 7]
[14, 5, 6, 12, 9]
[0, 12, 13, 5, 9]
[3, 2, 11, 10, 0]
[6, 8, 12, 11, 0]
[3, 5, 14, 12, 7]
[10, 13, 11, 1, 8]
[9, 5, 14, 0, 1]
[2, 13, 4, 9, 10]
[3, 1, 9, 7, 11]
[6, 9, 2, 5, 13]
[9, 10, 0, 1, 6]
[5, 0, 2, 8, 7]
[3, 11, 4, 7, 5]
[9, 2, 11, 4, 0]
[0, 12, 8, 13, 3]
[13, 3, 5, 7, 10]
[13, 11, 3, 12, 10]
[13, 10, 3, 0, 12]
[10, 7, 11, 2, 6]
[2, 10, 5, 14, 11]
[8, 3, 6, 12, 0]
[9, 10, 5, 4, 0]
[14, 9, 1, 5, 10]
[9, 3, 13, 5, 7]
[0, 2, 5, 13, 12]
[1, 3, 0, 7, 5]
[5, 13, 8, 3, 7]
[14, 5, 3, 6, 1]
[8, 7, 9, 1, 11]
[13, 10, 6, 0, 1]
[3, 4, 7, 10, 11]
[5, 4, 12, 2, 11]
[9, 0, 5, 11, 10]
[4, 9, 0, 5, 2]
[4, 0, 9, 7, 13]
[1, 6, 13, 14, 4]
[0, 8, 5, 12, 11]
[13, 1, 11, 14, 12]
[14, 13, 10, 6, 1]
[5, 14, 3, 2, 0]
[8, 3, 9, 13, 2]
[6, 12, 11, 2, 4]
[14, 4, 5, 6, 12]
[6, 9, 8, 14, 11]
[3, 1, 0, 8, 5]
[12, 5, 1, 3, 11]
[7, 3, 10, 2, 6]
[9, 10, 11, 14, 2]
[10, 2, 8, 14, 0]
[6, 8, 4, 11, 12]
[8, 10, 9, 7, 12]
[2, 0, 11, 5, 7]
[14, 9, 1, 2, 6]
[7, 0, 2, 5, 13]
[0, 13, 8, 6, 7]
[10, 6, 3, 7, 4]
[9, 3, 13, 2, 14]
[14, 11, 10, 7, 5]
[3, 2, 5, 0, 9]
[14, 12, 5, 7, 6]
