P1,P2,...,Pn
[7, 8, 4, 0]
[2, 10, 6, 14]
[13, 0, 9, 12]
[13, 7, 9, 11]
[2, 1, 9, 14]
[0, 11, 6, 2]
[5, 14, 12, 10]
[0, 12, 9, 2]
[12, 7, 5, 14]
[3, 13, 11, 2]
[13, 6, 7, 9]
[14, 13, 7, 6]
[4, 13, 0, 11]
[1, 8, 11, 13]
[9, 5, 4, 6]
[7, 12, 6, 10]
[2, 13, 11, 0]
[11, 12, 4, 6]
[0, 12, 9, 4]
[14, 3, 13, 5]
[12, 6, 13, 14]
[1, 8, 7, 4]
[8, 2, 12, 1]
[13, 1, 12, 4]
[6, 0, 2, 9]
[13, 0, 1, 12]
[12, 0, 2, 8]
[12, 6, 1, 5]
[2, 9, 6, 7]
[4, 2, 12, 5]
[13, 0, 3, 10]
[4, 2, 12, 11]
[12, 10, 8, 7]
[12, 13, 1, 11]
[1, 14, 3, 5]
[9, 8, 6, 0]
[0, 9, 5, 7]
[3, 6, 5, 11]
[1, 14, 7, 8]
[3, 13, 10, 5]
[3, 12, 14, 10]
[0, 5, 7, 3]
[8, 1, 11, 6]
[3, 11, 9, 0]
[3, 0, 2, 7]
[13, 14, 10, 6]
[12, 10, 6, 5]
[2, 11, 10, 12]
[3, 12, 6, 13]
[11, 14, 7, 2]
[9, 13, 14, 1]
[3, 1, 10, 7]
[1, 9, 7, 10]
[1, 14, 4, 13]
[12, 2, 10, 11]
[6, 2, 4, 10]
[14, 8, 7, 10]
[0, 2, 1, 12]
[7, 2, 11, 6]
[10, 13, 9, 6]
[11, 10, 5, 6]
[6, 0, 10, 1]
[14, 0, 10, 5]
[2, 9, 1, 3]
[5, 11, 3, 13]
[8, 4, 6, 7]
[6, 11, 9, 3]
[9, 13, 1, 7]
[5, 11, 4, 0]
[9, 2, 13, 12]
[2, 3, 12, 9]
[14, 12, 3, 8]
[7, 12, 13, 8]
[8, 0, 6, 5]
[11, 9, 3, 1]
[10, 3, 1, 12]
[9, 11, 14, 8]
[9, 14, 13, 2]
[4, 12, 9, 10]
[14, 1, 6, 10]
[3, 9, 11, 0]
[14, 4, 0, 3]
[7, 8, 11, 1]
[12, 14, 0, 11]
[10, 6, 4, 7]
[13, 0, 12, 14]
[1, 5, 13, 2]
[12, 10, 2, 13]
[7, 2, 13, 8]
[8, 14, 0, 2]
[0, 4, 8, 12]
[0, 4, 2, 14]
[3, 6, 14, 9]
[8, 2, 6, 9]
[12, 10, 6, 1]
[13, 3, 7, 14]
[9, 8, 13, 10]
[8, 5, 6, 2]
[4, 0, 3, 11]
[12, 4, 2, 0]
[9, 14, 0, 10]
[2, 5, 1, 8]
[1, 14, 12, 11]
[3, 10, 9, 7]
[2, 13, 9, 5]
[6, 7, 12, 11]
[13, 11, 3, 8]
[9, 1, 8, 5]
[12, 8, 9, 6]
[6, 2, 14, 3]
[5, 3, 11, 0]
[5, 9, 8, 6]
[8, 5, 9, 10]
[12, 3, 14, 6]
[7, 9, 10, 4]
[11, 1, 3, 0]
[4, 6, 13, 11]
[10, 1, 14, 3]
[5, 9, 10, 8]
[5, 12, 10, 9]
[8, 12, 5, 9]
[0, 2, 7, 4]
[5, 13, 11, 10]
[13, 14, 9, 12]
[0, 13, 2, 14]
[5, 12, 7, 1]
[0, 1, 4, 5]
[1, 14, 0, 7]
[12, 2, 1, 14]
[4, 14, 6, 8]
[2, 4, 9, 13]
[11, 9, 5, 6]
[10, 13, 12, 7]
[13, 0, 12, 8]
[0, 4, 9, 2]
[1, 9, 10, 4]
[6, 2, 3, 4]
[7, 0, 3, 14]
[5, 8, 4, 3]
[4, 5, 14, 13]
[6, 1, 8, 9]
[1, 5, 8, 2]
[12, 11, 3, 7]
[5, 13, 12, 14]
[0, 2, 1, 3]
[9, 10, 2, 6]
[1, 10, 4, 14]
[7, 14, 9, 10]
[10, 6, 7, 9]
[4, 5, 14, 2]
[6, 4, 12, 1]
[7, 9, 11, 13]
[11, 8, 4, 3]
[14, 11, 9, 10]
[6, 1, 12, 14]
[2, 13, 5, 12]
[0, 4, 6, 7]
[8, 12, 13, 2]
[10, 2, 3, 9]
[13, 3, 10, 1]
[7, 10, 1, 5]
[14, 13, 12, 9]
[4, 6, 14, 3]
[13, 8, 7, 10]
[8, 2, 4, 1]
[8, 5, 13, 6]
[10, 2, 12, 14]
[14, 9, 3, 11]
[4, 3, 8, 5]
[9, 14, 3, 4]
[2, 4, 11, 12]
[9, 1, 4, 12]
[2, 11, 13, 10]
[5, 7, 1, 11]
[8, 7, 10, 6]
[1, 2, 12, 9]
[14, 6, 0, 1]
[2, 9, 4, 5]
[12, 5, 14, 6]
[6, 10, 8, 13]
[13, 0, 2, 4]
[13, 11, 9, 4]
[5, 13, 4, 0]
[8, 2, 3, 11]
[13, 5, 8, 1]
[11, 13, 10, 0]
[2, 7, 0, 1]
[9, 10, 11, 8]
[6, 3, 2, 13]
[5, 4, 1, 7]
[10, 9, 0, 6]
[7, 6, 12, 14]
[1, 4, 3, 6]
[8, 10, 7, 13]
[12, 2, 1, 13]
[8, 5, 2, 11]
[12, 13, 0, 6]
[9, 2, 3, 4]
[0, 11, 1, 6]
[4, 11, 10, 3]
[11, 3, 0, 10]
[12, 6, 2, 14]
[10, 12, 6, 1]
[12, 5, 11, 1]
[8, 12, 6, 13]
[10, 8, 6, 12]
[0, 5, 8, 12]
[12, 2, 13, 11]
[0, 9, 8, 2]
[5, 9, 8, 14]
[5, 4, 13, 6]
[14, 12, 0, 5]
[10, 13, 14, 8]
[8, 6, 0, 12]
[5, 7, 0, 9]
[11, 8, 14, 2]
[11, 7, 14, 0]
[13, 3, 8, 4]
[12, 11, 13, 14]
[5, 12, 3, 9]
[9, 11, 14, 4]
[2, 7, 5, 13]
[6, 4, 10, 3]
[8, 10, 5, 14]
[14, 10, 2, 13]
[3, 5, 12, 0]
[7, 9, 2, 4]
[10, 7, 3, 13]
[2, 9, 5, 3]
[11, 12, 13, 10]
[12, 13, 6, 0]
[9, 12, 3, 10]
[5, 12, 7, 13]
[3, 5, 2, 12]
[7, 4, 3, 13]
[11, 4, 7, 13]
[11, 12, 8, 6]
[8, 9, 14, 7]
[7, 12, 2, 11]
[3, 1, 7, 13]
[6, 14, 2, 0]
[10, 7, 12, 3]
[1, 12, 9, 6]
[4, 2, 8, 6]
[3, 11, 7, 14]
[3, 4, 14, 9]
[3, 12, 1, 2]
[0, 1, 12, 9]
[4, 10, 13, 7]
[12, 14, 2, 10]
[2, 8, 10, 1]
[1, 13, 7, 14]
[3, 11, 14, 8]
[7, 14, 6, 8]
[11, 7, 9, 14]
[10, 0, 2, 5]
[3, 9, 14, 6]
[5, 8, 7, 10]
[13, 2, 7, 0]
[0, 8, 12, 14]
[13, 14, 6, 1]
[8, 1, 0, 14]
[7, 12, 6, 4]
[7, 4, 9, 3]
[9, 2, 8, 11]
[14, 3, 2, 9]
[12, 11, 4, 2]
[7, 4, 3, 8]
[10, 5, 3, 11]
[9, 0, 7, 1]
[4, 6, 7, 10]
[7, 1, 4, 14]
[12, 1, 0, 3]
[0, 8, 13, 2]
[10, 14, 1, 5]
[10, 7, 3, 8]
[9, 1, 10, 0]
[14, 0, 3, 7]
[8, 5, 7, 0]
