P1,P2,...,Pn
[9, 3, 2, 8, 0]
[14, 0, 12, 6, 2]
[3, 10, 7, 11, 0]
[13, 12, 4, 3, 1]
[8, 7, 0, 6, 3]
[11, 8, 6, 5, 2]
[10, 12, 3, 4, 6]
[7, 6, 13, 8, 12]
[9, 4, 2, 3, 14]
[7, 3, 1, 9, 14]
[9, 7, 6, 5, 11]
[9, 6, 3, 1, 2]
[11, 9, 5, 14, 12]
[3, 1, 11, 5, 6]
[13, 1, 12, 7, 9]
[0, 1, 4, 7, 8]
[3, 1, 0, 2, 13]
[3, 13, 0, 10, 6]
[2, 10, 5, 9, 8]
[3, 11, 7, 8, 9]
[9, 5, 1, 12, 6]
[12, 8, 13, 6, 2]
[7, 6, 11, 2, 13]
[14, 9, 7, 0, 2]
[8, 7, 14, 3, 1]
[4, 3, 8, 14, 12]
[0, 12, 14, 7, 9]
[0, 13, 9, 6, 14]
[0, 6, 1, 8, 12]
[0, 11, 7, 1, 5]
[2, 14, 1, 3, 13]
[8, 0, 4, 7, 10]
[7, 9, 2, 3, 1]
[12, 7, 14, 5, 6]
[0, 2, 11, 8, 6]
[10, 8, 2, 9, 5]
[3, 5, 12, 7, 9]
[9, 4, 0, 8, 2]
[11, 10, 13, 6, 5]
[9, 10, 3, 12, 1]
[7, 3, 5, 12, 8]
[11, 6, 0, 13, 1]
[7, 1, 3, 6, 12]
[14, 3, 12, 1, 5]
[14, 8, 4, 12, 2]
[3, 7, 6, 5, 14]
[1, 5, 7, 4, 8]
[8, 7, 3, 9, 13]
[3, 10, 7, 5, 1]
[2, 3, 5, 0, 6]
[4, 10, 3, 2, 9]
[13, 6, 11, 0, 1]
[5, 6, 12, 13, 2]
[7, 1, 8, 0, 6]
[2, 1, 3, 9, 5]
[4, 8, 0, 7, 12]
[0, 10, 11, 5, 3]
[11, 0, 6, 10, 14]
[3, 13, 11, 2, 4]
[14, 9, 2, 0, 8]
[1, 10, 5, 12, 7]
[4, 11, 7, 13, 0]
[4, 8, 1, 14, 6]
[12, 13, 5, 3, 11]
[9, 7, 5, 12, 13]
[9, 7, 4, 8, 11]
[11, 13, 3, 10, 9]
[0, 14, 13, 1, 9]
[4, 12, 11, 6, 3]
[10, 14, 1, 11, 12]
[8, 1, 3, 4, 11]
[3, 14, 8, 6, 1]
[3, 9, 8, 11, 12]
[6, 9, 3, 10, 12]
[4, 5, 0, 14, 13]
[6, 10, 13, 5, 1]
[6, 8, 9, 2, 5]
[8, 7, 3, 14, 0]
[5, 0, 8, 14, 13]
[8, 14, 10, 9, 1]
[2, 5, 1, 8, 0]
[0, 5, 1, 6, 11]
[2, 12, 1, 3, 11]
[8, 9, 10, 12, 5]
