P1,P2,...,Pn
[11, 1, 2, 12, 0]
[1, 8, 11, 2, 13]
[5, 9, 11, 13, 2]
[2, 5, 6, 10, 4]
[10, 9, 1, 0, 4]
[9, 8, 10, 1, 13]
[3, 10, 9, 13, 11]
[1, 14, 0, 6, 10]
[3, 1, 10, 9, 6]
[12, 9, 11, 5, 13]
[13, 3, 10, 4, 14]
[1, 9, 2, 7, 12]
[1, 12, 7, 3, 9]
[7, 1, 8, 12, 4]
[9, 7, 12, 4, 0]
[14, 11, 8, 13, 1]
[2, 6, 3, 12, 10]
[0, 10, 4, 1, 3]
[3, 1, 0, 2, 13]
[14, 6, 2, 9, 1]
[2, 12, 4, 8, 7]
[3, 10, 11, 0, 4]
[10, 5, 6, 8, 14]
[4, 11, 2, 3, 13]
[2, 11, 12, 6, 4]
[13, 5, 4, 9, 12]
[4, 7, 12, 5, 11]
[14, 9, 12, 10, 2]
[5, 6, 14, 10, 8]
[0, 5, 14, 10, 8]
[3, 9, 11, 14, 12]
[1, 2, 10, 0, 4]
[9, 6, 8, 11, 12]
[12, 8, 3, 10, 7]
[14, 9, 8, 10, 11]
[7, 8, 6, 11, 14]
[14, 12, 9, 4, 3]
[1, 5, 4, 11, 12]
[0, 7, 8, 12, 6]
[14, 12, 8, 1, 13]
[6, 2, 0, 7, 1]
[4, 1, 13, 3, 9]
[2, 3, 5, 12, 14]
[9, 8, 1, 5, 2]
[10, 11, 14, 0, 2]
[0, 4, 9, 6, 11]
[4, 7, 3, 2, 5]
[14, 4, 6, 2, 9]
[0, 2, 11, 7, 8]
[8, 5, 11, 13, 14]
[14, 12, 0, 11, 6]
[7, 0, 10, 11, 14]
[10, 2, 12, 13, 1]
[4, 7, 11, 12, 1]
[0, 10, 7, 12, 2]
[13, 7, 5, 4, 0]
[12, 0, 14, 6, 1]
[13, 1, 10, 3, 9]
[0, 10, 9, 6, 11]
[6, 13, 8, 2, 1]
[0, 8, 11, 7, 13]
[10, 9, 2, 7, 13]
[2, 0, 14, 1, 4]
[0, 11, 6, 10, 4]
[9, 5, 4, 6, 11]
[10, 9, 3, 11, 13]
[8, 9, 14, 1, 3]
[6, 8, 4, 9, 7]
[9, 6, 3, 0, 1]
[7, 3, 1, 5, 12]
[11, 3, 13, 1, 5]
[13, 8, 0, 9, 5]
[9, 12, 8, 10, 7]
[3, 5, 12, 7, 10]
[13, 3, 7, 8, 0]
[10, 7, 11, 1, 14]
[9, 10, 1, 8, 12]
[9, 5, 4, 7, 11]
[10, 6, 2, 12, 11]
[10, 0, 14, 1, 3]
[5, 10, 4, 2, 11]
[11, 14, 4, 7, 13]
[3, 4, 8, 12, 11]
[5, 10, 9, 13, 12]
[9, 0, 7, 3, 14]
[10, 9, 0, 5, 13]
[13, 4, 1, 3, 0]
[4, 11, 1, 3, 2]
[12, 1, 14, 3, 4]
[5, 8, 7, 3, 11]
[13, 3, 9, 10, 7]
[4, 10, 2, 13, 5]
[1, 4, 7, 13, 6]
[13, 3, 12, 7, 2]
[13, 11, 9, 1, 12]
[7, 13, 5, 12, 6]
[4, 3, 8, 5, 7]
[9, 11, 8, 5, 14]
[5, 12, 7, 8, 10]
[7, 3, 9, 4, 2]
[2, 4, 8, 0, 3]
[13, 7, 10, 9, 14]
[11, 6, 12, 3, 9]
[7, 14, 13, 5, 10]
[3, 0, 9, 14, 4]
[12, 6, 11, 10, 0]
[5, 1, 6, 4, 8]
[5, 0, 10, 11, 1]
[8, 2, 7, 0, 12]
[0, 7, 1, 14, 2]
[4, 7, 9, 5, 12]
[8, 13, 11, 0, 14]
[9, 13, 1, 11, 5]
[10, 5, 11, 12, 1]
[9, 0, 14, 5, 7]
[8, 1, 3, 6, 11]
[8, 4, 7, 5, 11]
[11, 10, 8, 13, 3]
[5, 9, 14, 6, 3]
[9, 8, 13, 2, 7]
[12, 3, 14, 6, 1]
[5, 8, 2, 12, 0]
[14, 4, 11, 0, 12]
[3, 2, 6, 10, 12]
[8, 2, 4, 5, 9]
[11, 7, 8, 6, 3]
[13, 8, 0, 14, 9]
[5, 13, 14, 2, 10]
[0, 7, 4, 12, 11]
[7, 10, 14, 4, 5]
[13, 14, 7, 6, 2]
[2, 6, 3, 14, 5]
[0, 12, 4, 2, 10]
[14, 5, 12, 3, 4]
[14, 5, 9, 10, 2]
[2, 6, 9, 11, 14]
[5, 8, 10, 0, 14]
[10, 9, 0, 5, 1]
[14, 13, 6, 11, 7]
[13, 14, 11, 10, 6]
[2, 0, 13, 8, 12]
[3, 13, 4, 9, 10]
[12, 11, 0, 1, 6]
[13, 2, 12, 3, 11]
[11, 14, 9, 5, 13]
[1, 5, 2, 13, 11]
[2, 14, 13, 11, 1]
[9, 0, 1, 7, 3]
[6, 0, 3, 7, 10]
[6, 13, 7, 0, 14]
[11, 9, 0, 5, 4]
[6, 7, 12, 9, 0]
[3, 5, 6, 4, 14]
[12, 11, 0, 6, 3]
[2, 14, 8, 7, 11]
[3, 11, 2, 6, 12]
[14, 4, 0, 10, 13]
[3, 1, 7, 4, 6]
[3, 9, 0, 7, 8]
[3, 14, 2, 10, 6]
[5, 14, 2, 11, 8]
[4, 5, 3, 10, 7]
[7, 4, 11, 5, 12]
[7, 11, 14, 2, 6]
[7, 4, 0, 2, 5]
[5, 13, 4, 3, 11]
[9, 5, 3, 14, 1]
[13, 1, 3, 2, 14]
[9, 10, 14, 1, 11]
[4, 9, 14, 10, 13]
[10, 3, 14, 12, 4]
[13, 6, 8, 7, 9]
[12, 10, 0, 2, 1]
[2, 4, 3, 0, 1]
[12, 0, 7, 11, 10]
[14, 1, 4, 9, 2]
[10, 2, 8, 0, 4]
[7, 0, 3, 10, 9]
[13, 14, 5, 12, 1]
[10, 14, 6, 11, 9]
[14, 5, 13, 4, 10]
[5, 3, 12, 1, 14]
[8, 0, 6, 2, 7]
[0, 11, 4, 8, 12]
[0, 2, 8, 12, 7]
[2, 1, 7, 12, 3]
[10, 11, 12, 5, 2]
[8, 2, 13, 4, 7]
[13, 2, 11, 10, 9]
[2, 5, 10, 0, 9]
[7, 2, 14, 8, 9]
[6, 13, 8, 12, 0]
[12, 6, 0, 8, 10]
[4, 12, 1, 3, 0]
