P1,P2,...,Pn
[2, 3, 0, 9]
[2, 10, 11, 7]
[13, 2, 4, 10]
[6, 8, 14, 13]
[4, 13, 11, 3]
[0, 4, 9, 5]
[3, 1, 8, 13]
[14, 0, 8, 13]
[12, 9, 13, 5]
[5, 7, 9, 4]
[6, 14, 5, 8]
[2, 1, 8, 3]
[1, 0, 8, 10]
[14, 8, 5, 11]
[10, 5, 14, 11]
[9, 3, 13, 12]
[3, 2, 13, 4]
[10, 9, 7, 8]
[4, 11, 5, 13]
[9, 2, 8, 3]
[5, 2, 11, 12]
[4, 9, 8, 2]
[3, 9, 7, 8]
[13, 5, 6, 0]
[9, 7, 5, 13]
[1, 4, 9, 12]
[8, 0, 6, 3]
[2, 14, 7, 6]
[2, 3, 10, 0]
[5, 2, 14, 4]
[4, 9, 0, 14]
[7, 11, 14, 4]
[0, 7, 9, 5]
[12, 7, 9, 13]
[14, 5, 0, 3]
[3, 8, 2, 7]
[11, 3, 7, 9]
[1, 13, 12, 9]
[6, 8, 11, 5]
[13, 8, 12, 6]
[7, 0, 5, 1]
[4, 1, 6, 11]
[8, 10, 11, 14]
[10, 5, 2, 3]
[2, 13, 6, 7]
[10, 2, 11, 14]
[5, 8, 13, 9]
[11, 2, 1, 7]
[14, 2, 13, 10]
[10, 8, 3, 0]
[13, 5, 10, 1]
[5, 0, 2, 6]
[0, 12, 8, 11]
[8, 10, 9, 0]
[11, 14, 13, 1]
[4, 14, 1, 6]
[6, 14, 7, 2]
[3, 5, 7, 12]
[9, 7, 6, 8]
[9, 6, 0, 14]
[0, 6, 1, 5]
[2, 8, 7, 12]
[9, 8, 0, 5]
[10, 1, 14, 8]
[11, 10, 13, 12]
[0, 8, 1, 9]
[9, 4, 7, 3]
[4, 0, 9, 10]
[8, 14, 7, 10]
[11, 1, 13, 3]
[8, 1, 11, 13]
[1, 11, 3, 6]
[9, 5, 4, 12]
[14, 13, 2, 12]
[12, 0, 7, 4]
[13, 9, 12, 8]
[10, 11, 4, 6]
[8, 13, 10, 3]
[14, 12, 3, 9]
[13, 2, 4, 5]
[14, 6, 12, 8]
[10, 0, 13, 4]
[10, 2, 13, 6]
[9, 10, 8, 0]
[3, 1, 10, 2]
[9, 11, 13, 10]
[1, 11, 7, 4]
[4, 1, 12, 7]
[11, 12, 10, 1]
[12, 13, 8, 10]
[13, 14, 11, 4]
[14, 3, 10, 4]
[10, 14, 8, 6]
[3, 7, 1, 10]
[5, 7, 11, 2]
[2, 5, 6, 8]
[12, 11, 9, 10]
[11, 9, 5, 3]
[6, 13, 4, 8]
[11, 10, 9, 2]
[3, 2, 8, 13]
[2, 0, 3, 10]
[4, 13, 7, 2]
[10, 7, 14, 12]
[6, 13, 3, 9]
[2, 6, 11, 8]
[3, 5, 6, 1]
[2, 1, 3, 14]
[11, 2, 12, 9]
[2, 3, 4, 0]
[0, 9, 12, 3]
[5, 1, 12, 11]
[8, 12, 4, 3]
[0, 12, 4, 1]
[9, 0, 5, 13]
[6, 0, 9, 3]
[8, 3, 2, 1]
[8, 0, 14, 9]
[5, 7, 4, 3]
[11, 7, 14, 10]
[0, 5, 13, 9]
[1, 12, 11, 13]
[6, 7, 4, 14]
[12, 13, 1, 2]
[7, 9, 1, 3]
[10, 14, 1, 12]
[12, 7, 2, 5]
[7, 2, 10, 11]
[14, 4, 13, 11]
[11, 14, 6, 4]
[5, 2, 1, 8]
[12, 5, 8, 10]
[9, 13, 7, 3]
[9, 2, 12, 6]
[13, 8, 12, 7]
[13, 3, 14, 12]
[13, 12, 8, 7]
[7, 10, 11, 5]
[2, 3, 12, 5]
[12, 5, 4, 11]
[13, 14, 12, 6]
[1, 12, 4, 11]
[5, 11, 9, 6]
[9, 8, 1, 14]
[7, 12, 5, 9]
[5, 7, 13, 9]
[7, 2, 9, 4]
[0, 12, 1, 6]
[11, 13, 5, 10]
[6, 11, 1, 3]
[13, 4, 6, 11]
[9, 13, 3, 8]
[7, 0, 2, 14]
[1, 0, 2, 10]
[1, 3, 2, 10]
[10, 8, 0, 11]
[9, 11, 3, 7]
[11, 0, 4, 8]
[11, 13, 3, 2]
[10, 7, 6, 2]
[3, 6, 12, 11]
[3, 10, 0, 5]
[5, 8, 1, 2]
[11, 8, 3, 4]
[7, 10, 3, 9]
[6, 10, 2, 5]
