P1,P2,...,Pn
[0, 8, 7, 9]
[2, 11, 0, 3]
[4, 12, 8, 1]
[1, 5, 0, 7]
[12, 7, 6, 8]
[13, 4, 5, 1]
[14, 9, 1, 13]
[0, 9, 2, 12]
[6, 2, 10, 1]
[12, 6, 4, 10]
[9, 14, 0, 1]
[7, 5, 10, 0]
[0, 2, 7, 9]
[3, 0, 7, 5]
[12, 5, 4, 6]
[1, 8, 0, 13]
[4, 10, 1, 8]
[12, 2, 8, 10]
[6, 10, 1, 14]
[8, 7, 1, 4]
[11, 10, 6, 1]
[7, 2, 4, 0]
[14, 6, 12, 9]
[3, 4, 13, 9]
[5, 13, 0, 3]
[6, 3, 9, 10]
[2, 0, 10, 1]
[8, 12, 9, 11]
[12, 10, 4, 1]
[7, 8, 13, 9]
[4, 3, 1, 8]
[12, 6, 1, 10]
[4, 3, 1, 9]
[0, 6, 9, 8]
[2, 4, 14, 12]
[0, 14, 9, 4]
[5, 10, 1, 3]
[14, 12, 11, 1]
[7, 12, 13, 6]
[0, 12, 1, 11]
[1, 5, 6, 13]
[9, 1, 5, 4]
[9, 4, 12, 1]
[2, 6, 0, 4]
[7, 3, 2, 13]
[1, 10, 9, 12]
[4, 9, 6, 13]
[14, 3, 5, 4]
[8, 1, 9, 4]
[4, 11, 9, 13]
[7, 0, 10, 3]
[7, 5, 6, 0]
[6, 9, 7, 14]
[4, 9, 14, 6]
[8, 2, 10, 1]
[8, 10, 3, 1]
[14, 4, 6, 5]
[12, 6, 3, 8]
[14, 9, 2, 13]
[11, 14, 4, 6]
[7, 8, 10, 9]
[3, 14, 9, 4]
[0, 11, 4, 13]
[12, 1, 5, 3]
[13, 7, 1, 4]
[5, 6, 8, 4]
[14, 11, 6, 2]
[5, 8, 2, 0]
[7, 5, 3, 11]
[11, 2, 9, 12]
[9, 14, 5, 3]
[8, 0, 10, 11]
[12, 7, 8, 5]
[8, 11, 4, 12]
[1, 13, 2, 8]
[11, 6, 13, 5]
[9, 12, 7, 1]
[14, 13, 8, 4]
[7, 11, 0, 3]
[10, 1, 6, 5]
[0, 14, 12, 3]
[8, 9, 3, 0]
[7, 1, 6, 5]
[14, 6, 8, 12]
[5, 7, 3, 8]
[0, 14, 1, 9]
[5, 0, 2, 1]
[14, 6, 0, 3]
[4, 12, 9, 8]
[9, 6, 11, 4]
[1, 10, 6, 11]
[13, 14, 8, 4]
[0, 9, 3, 2]
[6, 0, 7, 1]
[5, 3, 2, 4]
[0, 6, 9, 13]
[9, 4, 2, 6]
[13, 8, 6, 9]
[2, 6, 8, 4]
[11, 7, 9, 0]
[4, 13, 3, 7]
[4, 13, 9, 7]
[0, 8, 12, 5]
[12, 10, 8, 0]
[13, 0, 5, 14]
[12, 13, 11, 14]
[13, 0, 11, 12]
[5, 1, 11, 12]
[14, 13, 1, 8]
[3, 14, 8, 11]
[5, 3, 1, 11]
[5, 13, 7, 3]
[6, 10, 0, 3]
[8, 14, 6, 1]
[11, 10, 6, 14]
[1, 13, 8, 10]
[3, 1, 7, 5]
[6, 1, 11, 12]
[8, 12, 11, 0]
[11, 12, 5, 6]
[3, 7, 6, 1]
[4, 2, 14, 1]
[3, 14, 0, 4]
[3, 13, 1, 5]
[4, 13, 3, 11]
[8, 12, 4, 14]
[2, 14, 6, 0]
[3, 6, 14, 7]
[1, 4, 6, 12]
[1, 14, 6, 9]
[13, 0, 5, 9]
[0, 10, 13, 12]
[12, 6, 14, 13]
[6, 9, 8, 13]
[2, 13, 0, 11]
[11, 14, 4, 6]
[0, 10, 12, 2]
[11, 8, 9, 0]
[4, 9, 2, 8]
[7, 0, 6, 9]
[3, 14, 8, 0]
[12, 11, 5, 7]
[14, 2, 1, 6]
[14, 2, 8, 13]
[13, 6, 7, 12]
[7, 3, 0, 5]
[1, 2, 8, 7]
[0, 14, 13, 1]
[14, 0, 13, 1]
[5, 4, 2, 14]
[2, 6, 5, 1]
[8, 6, 3, 14]
[0, 10, 5, 8]
[4, 14, 1, 0]
[8, 13, 10, 4]
[2, 9, 5, 11]
[4, 13, 7, 0]
[4, 14, 3, 12]
[10, 5, 1, 2]
[7, 0, 8, 5]
[11, 8, 0, 4]
[8, 4, 0, 11]
[14, 12, 7, 9]
[12, 10, 11, 2]
[7, 11, 1, 9]
[14, 6, 11, 4]
[5, 4, 3, 12]
[10, 0, 8, 12]
[0, 2, 9, 1]
[13, 3, 2, 1]
[5, 11, 2, 6]
[13, 3, 8, 0]
[8, 11, 0, 13]
[2, 14, 12, 11]
[6, 13, 8, 3]
[3, 7, 2, 10]
[9, 0, 7, 2]
[14, 1, 10, 4]
[1, 5, 10, 11]
