P1,P2,...,Pn
[10, 5, 7, 8]
[8, 6, 11, 0]
[0, 1, 14, 4]
[9, 0, 11, 3]
[9, 8, 10, 2]
[3, 10, 12, 9]
[2, 3, 14, 8]
[12, 8, 9, 14]
[8, 12, 3, 11]
[6, 3, 13, 12]
[1, 4, 3, 13]
[10, 2, 4, 8]
[12, 7, 11, 4]
[10, 3, 13, 12]
[13, 14, 0, 3]
[8, 11, 7, 12]
[7, 10, 1, 3]
[5, 10, 4, 12]
[8, 2, 13, 11]
[3, 5, 13, 0]
[9, 0, 4, 12]
[11, 12, 0, 9]
[5, 6, 14, 11]
[8, 10, 12, 6]
[4, 1, 3, 14]
[8, 10, 13, 9]
[6, 1, 9, 4]
[1, 10, 11, 2]
[12, 3, 6, 14]
[10, 9, 4, 0]
[3, 9, 5, 12]
[10, 12, 2, 13]
[12, 10, 13, 0]
[3, 4, 7, 13]
[3, 6, 7, 9]
[10, 0, 4, 12]
[9, 7, 5, 6]
[11, 6, 9, 2]
[10, 2, 6, 9]
[12, 5, 4, 9]
[6, 9, 4, 11]
[2, 8, 13, 7]
[14, 0, 11, 5]
[8, 14, 3, 11]
[7, 6, 11, 1]
[2, 13, 0, 7]
[9, 0, 3, 13]
[14, 13, 9, 4]
[6, 2, 0, 5]
[14, 7, 10, 6]
[8, 10, 4, 3]
[11, 4, 6, 10]
[10, 6, 4, 8]
[5, 11, 7, 10]
[14, 5, 1, 10]
[12, 1, 10, 7]
[8, 2, 5, 3]
[4, 2, 8, 11]
[10, 7, 5, 0]
[8, 1, 2, 13]
[12, 0, 1, 6]
[8, 3, 14, 4]
[6, 13, 5, 14]
[0, 4, 1, 2]
[7, 9, 2, 0]
[6, 8, 14, 11]
[10, 12, 0, 8]
[12, 5, 4, 13]
[9, 14, 6, 3]
[13, 12, 5, 4]
[11, 13, 4, 6]
[1, 14, 4, 9]
[3, 11, 1, 9]
[12, 0, 4, 6]
[9, 12, 4, 0]
[11, 10, 6, 14]
[1, 0, 6, 12]
[12, 2, 3, 1]
[11, 9, 8, 0]
[9, 3, 2, 1]
[12, 8, 10, 13]
[4, 11, 3, 13]
[0, 5, 3, 12]
[13, 5, 0, 4]
[6, 7, 5, 1]
[6, 12, 8, 5]
[3, 5, 8, 12]
[1, 12, 11, 5]
[6, 11, 5, 12]
[14, 9, 10, 1]
[2, 14, 5, 13]
[3, 14, 8, 10]
[13, 9, 1, 0]
[1, 10, 0, 12]
[10, 3, 9, 11]
[4, 3, 14, 0]
[9, 8, 12, 2]
[12, 4, 0, 14]
[0, 1, 2, 14]
[13, 2, 1, 12]
[2, 3, 12, 7]
[8, 3, 5, 1]
[6, 1, 0, 2]
[2, 7, 8, 12]
[1, 2, 9, 13]
[2, 5, 12, 6]
[6, 9, 2, 12]
[4, 7, 12, 9]
[12, 3, 14, 1]
[4, 5, 9, 11]
[0, 14, 10, 11]
[9, 10, 6, 1]
[6, 12, 3, 14]
[10, 2, 13, 0]
[12, 11, 0, 3]
[12, 14, 4, 0]
[12, 9, 1, 0]
[2, 13, 11, 4]
[11, 1, 8, 14]
[9, 5, 7, 8]
[0, 4, 6, 2]
[3, 8, 0, 4]
[12, 5, 2, 7]
[7, 14, 2, 9]
[0, 8, 9, 11]
[14, 11, 12, 8]
[8, 13, 6, 5]
[1, 12, 11, 8]
[1, 10, 5, 6]
[13, 5, 0, 14]
[1, 4, 7, 11]
[2, 8, 1, 9]
[12, 2, 13, 3]
[11, 2, 14, 3]
