P1,P2,...,Pn
[7, 8, 5, 1, 11]
[11, 2, 10, 12, 3]
[8, 10, 11, 6, 2]
[7, 12, 14, 11, 1]
[14, 11, 9, 7, 12]
[6, 12, 10, 13, 5]
[6, 14, 7, 10, 1]
[13, 7, 3, 8, 6]
[12, 9, 2, 7, 10]
[4, 0, 8, 2, 5]
[3, 1, 0, 7, 13]
[4, 0, 5, 12, 11]
[14, 2, 11, 0, 4]
[3, 2, 13, 1, 11]
[5, 9, 11, 10, 7]
[10, 1, 14, 2, 12]
[3, 0, 8, 9, 10]
[14, 13, 2, 3, 5]
[14, 7, 6, 9, 13]
[8, 6, 5, 11, 14]
[5, 13, 6, 12, 7]
[11, 0, 7, 1, 13]
[2, 10, 0, 8, 11]
[11, 8, 1, 9, 4]
[9, 4, 14, 3, 8]
[7, 9, 13, 14, 2]
[0, 13, 11, 2, 4]
[9, 3, 2, 11, 1]
[0, 6, 3, 10, 7]
[7, 0, 4, 11, 5]
[2, 10, 3, 0, 8]
[8, 1, 12, 6, 11]
[0, 13, 1, 12, 5]
[4, 13, 11, 5, 9]
[4, 7, 5, 2, 8]
[5, 13, 4, 10, 1]
[6, 5, 7, 14, 0]
[4, 2, 9, 8, 5]
[14, 10, 3, 6, 7]
[7, 6, 14, 9, 5]
[12, 9, 4, 14, 7]
[2, 4, 1, 11, 13]
[4, 13, 11, 9, 12]
[8, 12, 14, 6, 1]
[4, 11, 13, 10, 9]
[1, 12, 3, 13, 10]
[14, 1, 6, 3, 8]
[1, 2, 7, 10, 9]
[0, 10, 7, 5, 8]
[0, 6, 5, 4, 2]
[10, 4, 5, 6, 9]
[1, 7, 6, 14, 3]
[12, 7, 14, 10, 6]
[9, 0, 3, 2, 13]
[7, 5, 2, 14, 4]
[4, 10, 2, 0, 1]
[0, 4, 2, 14, 1]
[7, 11, 1, 3, 8]
[2, 7, 9, 5, 13]
[2, 11, 0, 8, 5]
[11, 14, 6, 0, 7]
[3, 0, 7, 11, 13]
[8, 0, 9, 11, 13]
[14, 5, 7, 13, 0]
[10, 8, 5, 14, 3]
[4, 3, 12, 13, 1]
[0, 9, 13, 3, 14]
[12, 10, 7, 3, 2]
[10, 7, 4, 8, 0]
[3, 2, 13, 11, 1]
[7, 9, 12, 6, 10]
[10, 0, 12, 7, 4]
[1, 2, 5, 12, 9]
[8, 0, 1, 4, 6]
[7, 6, 8, 1, 12]
[6, 10, 3, 9, 8]
[4, 13, 11, 14, 7]
[8, 6, 9, 12, 7]
[10, 0, 4, 3, 6]
[3, 6, 14, 13, 0]
[9, 5, 6, 10, 8]
[0, 10, 6, 3, 8]
[13, 6, 10, 5, 8]
[8, 11, 12, 7, 10]
[9, 1, 14, 2, 4]
[9, 8, 10, 12, 0]
[3, 7, 13, 12, 0]
[9, 10, 4, 8, 0]
[8, 0, 3, 10, 7]
[0, 7, 5, 8, 10]
[5, 10, 11, 13, 6]
[8, 0, 9, 10, 13]
[0, 4, 13, 10, 1]
[8, 7, 11, 1, 9]
[14, 6, 10, 9, 11]
[11, 7, 14, 1, 10]
[11, 1, 9, 14, 2]
[3, 2, 13, 7, 0]
[4, 8, 3, 7, 12]
[4, 8, 3, 6, 5]
[4, 0, 7, 12, 1]
[6, 11, 2, 7, 14]
[13, 11, 4, 8, 12]
[14, 12, 2, 4, 8]
[11, 10, 13, 4, 2]
[4, 6, 14, 3, 12]
[8, 3, 11, 4, 1]
[14, 2, 11, 12, 7]
[4, 7, 14, 1, 12]
[7, 3, 14, 10, 1]
[1, 9, 6, 2, 7]
[1, 3, 0, 14, 9]
[9, 8, 6, 1, 11]
[5, 9, 13, 14, 8]
[8, 3, 13, 14, 7]
[14, 9, 4, 2, 13]
[13, 2, 6, 9, 8]
[12, 9, 1, 11, 4]
[1, 5, 11, 3, 12]
[5, 12, 10, 11, 9]
[3, 0, 10, 4, 11]
[1, 5, 10, 7, 11]
[14, 12, 4, 0, 9]
[1, 12, 13, 9, 0]
[12, 8, 14, 5, 1]
[11, 0, 1, 5, 12]
[9, 8, 6, 2, 4]
[8, 3, 13, 9, 0]
[2, 12, 8, 9, 5]
[14, 1, 9, 2, 10]
[9, 14, 11, 0, 8]
[0, 8, 1, 5, 2]
[8, 1, 3, 12, 6]
[14, 3, 8, 2, 7]
[1, 0, 9, 11, 10]
[7, 4, 6, 3, 11]
[9, 11, 4, 1, 7]
[9, 10, 11, 2, 3]
[5, 14, 6, 4, 1]
[3, 1, 13, 5, 14]
[10, 12, 2, 14, 6]
[8, 1, 2, 12, 3]
[0, 4, 11, 6, 14]
[5, 0, 12, 2, 6]
[12, 6, 8, 9, 4]
[12, 9, 8, 10, 3]
