P1,P2,...,Pn
[4, 13, 10, 1]
[3, 4, 8, 6]
[8, 14, 0, 10]
[5, 7, 6, 3]
[7, 6, 12, 1]
[8, 13, 14, 4]
[9, 3, 6, 5]
[6, 10, 4, 14]
[9, 14, 1, 13]
[2, 4, 13, 14]
[6, 2, 1, 14]
[10, 9, 8, 5]
[5, 1, 4, 0]
[11, 6, 10, 7]
[14, 5, 0, 1]
[5, 1, 0, 10]
[14, 12, 7, 1]
[14, 5, 3, 8]
[6, 8, 10, 1]
[5, 14, 10, 9]
[6, 12, 9, 14]
[6, 0, 2, 9]
[1, 6, 4, 3]
[10, 14, 12, 13]
[3, 14, 5, 13]
[2, 9, 11, 7]
[1, 2, 10, 4]
[4, 6, 8, 14]
[0, 13, 1, 9]
[12, 3, 11, 9]
[5, 7, 9, 12]
[1, 6, 8, 7]
[14, 7, 4, 5]
[12, 6, 8, 0]
[9, 10, 14, 12]
[11, 9, 14, 7]
[6, 7, 1, 3]
[12, 5, 4, 1]
[2, 6, 10, 8]
[8, 9, 7, 12]
[12, 10, 9, 4]
[12, 9, 11, 13]
[11, 7, 13, 6]
[2, 1, 13, 11]
[13, 1, 9, 3]
[1, 0, 14, 10]
[3, 5, 9, 12]
[8, 3, 13, 14]
[9, 4, 5, 0]
[9, 0, 6, 13]
[4, 8, 13, 2]
[0, 5, 6, 8]
[6, 14, 4, 11]
[6, 14, 13, 3]
[11, 8, 5, 0]
[11, 10, 7, 9]
[7, 4, 10, 0]
[14, 10, 2, 13]
[11, 6, 9, 12]
[1, 4, 12, 10]
[1, 3, 13, 10]
[13, 5, 9, 0]
[12, 10, 6, 11]
[9, 3, 11, 13]
[0, 2, 3, 10]
[7, 14, 9, 5]
[3, 4, 9, 6]
[6, 9, 2, 11]
[4, 0, 7, 9]
[4, 2, 14, 10]
[9, 14, 11, 0]
[0, 6, 4, 13]
[1, 7, 3, 14]
