P1,P2,...,Pn
[12, 14, 13, 7]
[11, 14, 13, 10]
[1, 9, 12, 13]
[6, 14, 11, 5]
[5, 2, 14, 7]
[8, 14, 10, 5]
[1, 10, 4, 7]
[1, 5, 4, 8]
[8, 0, 4, 13]
[11, 0, 5, 14]
[7, 0, 5, 1]
[3, 6, 11, 2]
[12, 2, 9, 5]
[11, 13, 9, 14]
[5, 3, 8, 12]
[12, 7, 2, 9]
[4, 7, 2, 13]
[8, 4, 1, 9]
[4, 1, 9, 14]
[12, 0, 8, 2]
[8, 13, 4, 10]
[12, 8, 7, 6]
[5, 10, 14, 1]
[5, 7, 11, 12]
[6, 14, 8, 12]
[3, 9, 14, 5]
[1, 7, 4, 6]
[6, 3, 12, 13]
[1, 5, 9, 12]
[3, 12, 7, 14]
[0, 11, 12, 10]
[11, 3, 9, 14]
[7, 2, 3, 5]
[8, 14, 1, 2]
[12, 2, 11, 13]
[2, 3, 10, 1]
[9, 11, 7, 4]
[8, 4, 6, 9]
[1, 0, 3, 4]
[12, 2, 10, 7]
[13, 1, 2, 10]
[9, 11, 5, 4]
[7, 12, 0, 4]
[4, 0, 8, 2]
[14, 1, 10, 3]
[1, 3, 8, 0]
[8, 2, 11, 5]
[0, 6, 13, 5]
[3, 14, 9, 5]
[8, 4, 3, 9]
[14, 6, 4, 1]
[5, 3, 1, 13]
[4, 12, 3, 13]
[3, 13, 2, 5]
[4, 3, 0, 2]
[7, 14, 4, 3]
[7, 11, 2, 0]
[2, 3, 10, 0]
[10, 1, 14, 12]
[8, 7, 5, 10]
[4, 1, 11, 12]
[8, 2, 0, 7]
[11, 13, 14, 1]
[14, 3, 5, 2]
[2, 0, 5, 3]
[0, 9, 2, 6]
[13, 6, 11, 7]
[3, 8, 9, 10]
[8, 0, 1, 3]
[0, 11, 8, 12]
[0, 9, 5, 10]
[1, 2, 0, 11]
[3, 12, 11, 4]
[6, 7, 11, 13]
[6, 7, 1, 4]
[7, 8, 13, 14]
[7, 13, 10, 14]
[2, 9, 4, 0]
[4, 1, 3, 6]
[7, 2, 4, 14]
[14, 4, 6, 0]
[7, 14, 6, 9]
[5, 4, 1, 8]
[2, 13, 3, 6]
[4, 11, 14, 8]
[1, 0, 5, 13]
[2, 0, 10, 11]
[3, 10, 4, 0]
[2, 7, 5, 10]
[6, 11, 7, 8]
[9, 0, 13, 8]
[12, 11, 14, 10]
[8, 11, 13, 10]
[8, 13, 10, 6]
[2, 5, 14, 12]
[7, 8, 9, 14]
[6, 3, 10, 2]
[1, 5, 9, 6]
[11, 2, 1, 10]
[7, 9, 5, 12]
[5, 6, 2, 10]
[9, 13, 14, 4]
[9, 0, 10, 3]
[2, 4, 5, 3]
[13, 3, 14, 4]
[11, 12, 1, 5]
[4, 6, 1, 8]
[11, 0, 13, 1]
[0, 1, 8, 10]
[2, 12, 6, 13]
[13, 7, 12, 10]
[6, 5, 13, 2]
[8, 2, 10, 7]
[3, 10, 8, 5]
[4, 10, 6, 13]
[12, 3, 6, 2]
[6, 12, 3, 5]
[10, 3, 0, 1]
[7, 1, 10, 0]
[3, 8, 5, 12]
[14, 5, 10, 0]
[13, 8, 2, 5]
[3, 2, 12, 1]
[11, 2, 13, 10]
[7, 1, 3, 2]
[9, 8, 13, 11]
[13, 11, 8, 2]
[8, 12, 10, 1]
[12, 1, 2, 3]
[0, 8, 9, 6]
[1, 5, 7, 4]
[4, 14, 0, 13]
[8, 2, 3, 10]
[13, 9, 12, 5]
[12, 8, 0, 6]
[4, 12, 13, 6]
[7, 6, 9, 1]
[4, 9, 6, 1]
[5, 6, 1, 11]
[13, 0, 14, 5]
[11, 7, 4, 3]
[7, 5, 6, 3]
[14, 1, 5, 8]
[12, 8, 1, 4]
[11, 4, 6, 10]
[11, 14, 12, 10]
[12, 4, 1, 9]
[13, 2, 8, 5]
[11, 2, 6, 3]
[8, 2, 3, 6]
[10, 1, 14, 6]
[9, 3, 2, 5]
[1, 11, 3, 8]
[10, 9, 3, 5]
[0, 9, 5, 14]
[1, 9, 0, 11]
[0, 10, 13, 7]
[11, 0, 10, 4]
[2, 5, 7, 8]
[13, 4, 7, 9]
[4, 5, 8, 7]
[10, 4, 6, 5]
[0, 9, 10, 14]
[10, 9, 3, 7]
[3, 12, 0, 7]
[0, 14, 6, 7]
[4, 1, 5, 2]
[6, 1, 5, 3]
[8, 9, 6, 13]
[12, 8, 4, 10]
[1, 3, 4, 0]
[11, 12, 4, 5]
[12, 2, 6, 4]
[3, 1, 13, 8]
[0, 3, 11, 10]
[3, 13, 10, 9]
[3, 13, 14, 6]
[13, 9, 11, 4]
[4, 11, 9, 8]
[8, 0, 2, 7]
[5, 8, 1, 2]
[4, 2, 7, 1]
[12, 11, 4, 14]
[9, 2, 1, 14]
[4, 6, 2, 11]
[9, 4, 3, 0]
[11, 4, 8, 9]
[2, 11, 13, 3]
[14, 5, 12, 10]
[4, 7, 11, 10]
[13, 8, 4, 12]
[14, 7, 10, 3]
[5, 1, 12, 4]
[5, 2, 6, 8]
[9, 1, 14, 3]
[6, 2, 0, 3]
[9, 7, 12, 11]
[8, 14, 4, 7]
[12, 8, 5, 14]
[8, 5, 9, 7]
[9, 0, 14, 12]
[7, 9, 6, 14]
[9, 8, 11, 1]
[0, 4, 6, 2]
[7, 12, 1, 0]
[8, 2, 14, 9]
[6, 3, 10, 7]
[10, 2, 5, 0]
[3, 9, 4, 2]
[9, 4, 3, 8]
[7, 6, 8, 4]
[7, 0, 11, 10]
[4, 12, 8, 14]
[5, 9, 6, 11]
[11, 7, 2, 5]
[13, 10, 6, 5]
[10, 13, 1, 14]
[5, 2, 14, 4]
[11, 4, 5, 8]
[12, 11, 3, 5]
[2, 14, 10, 11]
[2, 13, 7, 6]
[4, 7, 14, 5]
[9, 5, 14, 6]
[10, 1, 12, 9]
[3, 14, 12, 4]
[5, 1, 14, 3]
[13, 3, 0, 8]
[8, 4, 13, 2]
[5, 11, 1, 12]
[7, 11, 6, 2]
[7, 10, 4, 1]
